id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1390346,2023,Colombo,2023/08/26,Pakistan,Afghanistan,Pakistan,bat,normal,0,Pakistan,59,0,Mohammad Rizwan,"R Premadasa Stadium, Colombo",Izatullah Safi,Nitin Menon,Sharfuddoula
1390345,2023,Hambantota,2023/08/24,Afghanistan,Pakistan,Afghanistan,bat,normal,0,Pakistan,0,1,Shadab Khan,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Bismillah Shinwari,Sharfuddoula,Nitin Menon
1390344,2023,Hambantota,2023/08/22,Pakistan,Afghanistan,Pakistan,bat,normal,0,Pakistan,142,0,Haris Rauf,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Ahmed Shah Durrani,Nitin Menon,Sharfuddoula
1381216,2023,Tarouba,2023/08/01,India,West Indies,West Indies,field,normal,0,India,200,0,Shubman Gill,"Brian Lara Stadium, Tarouba, Trinidad",LS Reifer,MA Gough,M Erasmus
1381215,2023,Bridgetown,2023/07/29,India,West Indies,West Indies,field,normal,0,West Indies,0,6,SD Hope,"Kensington Oval, Bridgetown, Barbados",GO Brathwaite,M Erasmus,MA Gough
1381214,2023,Bridgetown,2023/07/27,West Indies,India,India,field,normal,0,India,0,5,Kuldeep Yadav,"Kensington Oval, Bridgetown, Barbados",MA Gough,N Duguid,M Erasmus
1377014,2023,Chattogram,2023/07/11,Afghanistan,Bangladesh,Afghanistan,bat,normal,0,Bangladesh,0,7,Shoriful Islam,"Zahur Ahmed Chowdhury Stadium, Chattogram",AT Holdstock,Masudur Rahman,RK Illingworth
1377779,2023,Harare,2023/07/09,Sri Lanka,Netherlands,Netherlands,field,normal,0,Sri Lanka,128,0,D Madushanka,Harare Sports Club,AG Wharf,GO Brathwaite,Asif Yaqoob
1377013,2023,Chattogram,2023/07/08,Afghanistan,Bangladesh,Bangladesh,field,normal,0,Afghanistan,142,0,Rahmanullah Gurbaz,"Zahur Ahmed Chowdhury Stadium, Chattogram",Gazi Sohel,RK Illingworth,AT Holdstock
1377778,2023,Harare,2023/07/07,West Indies,Sri Lanka,Sri Lanka,field,normal,0,Sri Lanka,0,8,M Theekshana,Harare Sports Club,J Madanagopal,L Rusere,AG Wharf
1377776,2023,Bulawayo,2023/07/06,Scotland,Netherlands,Netherlands,field,normal,0,Netherlands,0,4,BFW de Leede,"Queens Sports Club, Bulawayo",A Paleker,BP Jele,GO Brathwaite
1377777,2023,Harare,2023/07/06,United Arab Emirates,United States of America,United Arab Emirates,bat,normal,0,United Arab Emirates,1,0,Asif Khan,"Takashinga Sports Club, Highfield, Harare",Asif Yaqoob,I Chabi,Ahmed Shah Pakteen
1377775,2023,Harare,2023/07/05,Oman,West Indies,West Indies,field,normal,0,West Indies,0,7,BA King,Harare Sports Club,Aleem Dar,RR Wimalasiri,WR Knights
1377012,2023,Chattogram,2023/07/05,Bangladesh,Afghanistan,Afghanistan,field,D/L,1,Afghanistan,17,0,Fazalhaq Farooqi,"Zahur Ahmed Chowdhury Stadium, Chattogram",AT Holdstock,Sharfuddoula,RK Illingworth
1377773,2023,Bulawayo,2023/07/04,Scotland,Zimbabwe,Zimbabwe,field,normal,0,Scotland,31,0,CB Sole,"Queens Sports Club, Bulawayo",A Paleker,Asif Yaqoob,R Black
1377774,2023,Harare,2023/07/04,Nepal,Ireland,Ireland,field,normal,0,Ireland,0,2,C Campher,"Takashinga Sports Club, Highfield, Harare",J Madanagopal,LS Reifer,SJ Nogajski
1377772,2023,Harare,2023/07/03,Netherlands,Oman,Oman,field,D/L,1,Netherlands,74,0,Vikramjit Singh,Harare Sports Club,Ahmed Shah Pakteen,I Chabi,MJ Saggers
1377770,2023,Bulawayo,2023/07/02,Zimbabwe,Sri Lanka,Sri Lanka,field,normal,0,Sri Lanka,0,9,M Theekshana,"Queens Sports Club, Bulawayo",LS Reifer,R Black,A Paleker
1377771,2023,Harare,2023/07/02,United Arab Emirates,Nepal,Nepal,field,normal,0,Nepal,0,3,DS Airee,"Takashinga Sports Club, Highfield, Harare",Aleem Dar,BP Jele,RR Wimalasiri
1377769,2023,Harare,2023/07/01,West Indies,Scotland,Scotland,field,normal,0,Scotland,0,7,BJ McMullen,Harare Sports Club,AG Wharf,SJ Nogajski,L Rusere
1377768,2023,Harare,2023/06/30,United States of America,Ireland,Ireland,field,normal,0,Ireland,0,6,CA Young,"Takashinga Sports Club, Highfield, Harare",Ahmed Shah Pakteen,LS Reifer,I Chabi
1377767,2023,Bulawayo,2023/06/30,Sri Lanka,Netherlands,Sri Lanka,bat,normal,0,Sri Lanka,21,0,DM de Silva,"Queens Sports Club, Bulawayo",GO Brathwaite,MJ Saggers,J Madanagopal
1377766,2023,Bulawayo,2023/06/29,Zimbabwe,Oman,Oman,field,normal,0,Zimbabwe,14,0,SC Williams,"Queens Sports Club, Bulawayo",R Black,WR Knights,Asif Yaqoob
1377764,2023,Bulawayo,2023/06/27,Sri Lanka,Scotland,Scotland,field,normal,0,Sri Lanka,82,0,M Theekshana,"Queens Sports Club, Bulawayo",AG Wharf,BP Jele,Aleem Dar
1377765,2023,Bulawayo,2023/06/27,Ireland,United Arab Emirates,United Arab Emirates,field,normal,0,Ireland,138,0,PR Stirling,Bulawayo Athletic Club,L Rusere,LS Reifer,WR Knights
1377762,2023,Harare,2023/06/26,Zimbabwe,United States of America,United States of America,field,normal,0,Zimbabwe,304,0,SC Williams,Harare Sports Club,MJ Saggers,SJ Nogajski,Asif Yaqoob
1377763,2023,Harare,2023/06/26,West Indies,Netherlands,Netherlands,field,normal,0,,0,0,LV van Beek,"Takashinga Sports Club, Highfield, Harare",J Madanagopal,RR Wimalasiri,A Paleker
1377760,2023,Bulawayo,2023/06/25,Sri Lanka,Ireland,Ireland,field,normal,0,Sri Lanka,133,0,FDM Karunaratne,"Queens Sports Club, Bulawayo",GO Brathwaite,WR Knights,L Rusere
1377761,2023,Bulawayo,2023/06/25,Scotland,Oman,Oman,field,normal,0,Scotland,76,0,BJ McMullen,Bulawayo Athletic Club,AG Wharf,BP Jele,I Chabi
1377759,2023,Harare,2023/06/24,Nepal,Netherlands,Netherlands,field,normal,0,Netherlands,0,7,MP O'Dowd,"Takashinga Sports Club, Highfield, Harare",Ahmed Shah Pakteen,Asif Yaqoob,MJ Saggers
1377758,2023,Harare,2023/06/24,Zimbabwe,West Indies,West Indies,field,normal,0,Zimbabwe,35,0,Sikandar Raza,Harare Sports Club,RR Wimalasiri,SJ Nogajski,R Black
1377757,2023,Bulawayo,2023/06/23,Scotland,United Arab Emirates,United Arab Emirates,field,normal,0,Scotland,111,0,RD Berrington,Bulawayo Athletic Club,Aleem Dar,I Chabi,LS Reifer
1377756,2023,Bulawayo,2023/06/23,Oman,Sri Lanka,Sri Lanka,field,normal,0,Sri Lanka,0,10,PWH de Silva,"Queens Sports Club, Bulawayo",GO Brathwaite,L Rusere,BP Jele
1377754,2023,Harare,2023/06/22,West Indies,Nepal,Nepal,field,normal,0,West Indies,101,0,SD Hope,Harare Sports Club,A Paleker,MJ Saggers,Ahmed Shah Pakteen
1377755,2023,Harare,2023/06/22,United States of America,Netherlands,Netherlands,field,normal,0,Netherlands,0,5,SA Edwards,"Takashinga Sports Club, Highfield, Harare",J Madanagopal,R Black,SJ Nogajski
1377753,2023,Bulawayo,2023/06/21,United Arab Emirates,Oman,Oman,field,normal,0,Oman,0,5,Shoaib Khan,Bulawayo Athletic Club,BP Jele,GO Brathwaite,Aleem Dar
1377752,2023,Bulawayo,2023/06/21,Ireland,Scotland,Scotland,field,normal,0,Scotland,0,1,MA Leask,"Queens Sports Club, Bulawayo",AG Wharf,LS Reifer,WR Knights
1377750,2023,Harare,2023/06/20,Netherlands,Zimbabwe,Zimbabwe,field,normal,0,Zimbabwe,0,6,Sikandar Raza,Harare Sports Club,MJ Saggers,RR Wimalasiri,A Paleker
1377751,2023,Harare,2023/06/20,United States of America,Nepal,Nepal,field,normal,0,Nepal,0,6,Karan KC,"Takashinga Sports Club, Highfield, Harare",Ahmed Shah Pakteen,Asif Yaqoob,J Madanagopal
1377749,2023,Bulawayo,2023/06/19,Ireland,Oman,Oman,field,normal,0,Oman,0,5,Zeeshan Maqsood,Bulawayo Athletic Club,Aleem Dar,I Chabi,AG Wharf
1377748,2023,Bulawayo,2023/06/19,Sri Lanka,United Arab Emirates,United Arab Emirates,field,normal,0,Sri Lanka,175,0,PWH de Silva,"Queens Sports Club, Bulawayo",L Rusere,WR Knights,GO Brathwaite
1377747,2023,Harare,2023/06/18,West Indies,United States of America,United States of America,field,normal,0,West Indies,39,0,JO Holder,"Takashinga Sports Club, Highfield, Harare",J Madanagopal,R Black,RR Wimalasiri
1377746,2023,Harare,2023/06/18,Nepal,Zimbabwe,Zimbabwe,field,normal,0,Zimbabwe,0,8,CR Ervine,Harare Sports Club,A Paleker,SJ Nogajski,Asif Yaqoob
1377007,2023,Sharjah,2023/06/09,United Arab Emirates,West Indies,United Arab Emirates,bat,normal,0,West Indies,0,4,K Sinclair,Sharjah Cricket Stadium,Ahsan Raza,Akbar Ali,Aasif Iqbal
1377010,2023,Hambantota,2023/06/07,Afghanistan,Sri Lanka,Afghanistan,bat,normal,0,Sri Lanka,0,9,PVD Chameera,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Nitin Menon,RSA Palliyaguruge,MA Gough
1377006,2023,Sharjah,2023/06/06,West Indies,United Arab Emirates,West Indies,bat,normal,0,West Indies,78,0,J Charles,Sharjah Cricket Stadium,Ahsan Raza,Shiju Sam,Akbar Ali
1377005,2023,Sharjah,2023/06/04,United Arab Emirates,West Indies,United Arab Emirates,bat,normal,0,West Indies,0,7,BA King,Sharjah Cricket Stadium,Aasif Iqbal,Ahsan Raza,Shiju Sam
1377009,2023,Hambantota,2023/06/04,Sri Lanka,Afghanistan,Sri Lanka,bat,normal,0,Sri Lanka,132,0,DM de Silva,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",LE Hannibal,MA Gough,Nitin Menon
1377008,2023,Hambantota,2023/06/02,Sri Lanka,Afghanistan,Afghanistan,field,normal,0,Afghanistan,0,6,Ibrahim Zadran,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Nitin Menon,RMPJ Rambukwella,MA Gough
1365552,2023,Chelmsford,2023/05/14,Bangladesh,Ireland,Ireland,field,normal,0,Bangladesh,5,0,Mustafizur Rahman,"County Ground, Chelmsford",MA Gough,R Black,AT Holdstock
1364125,2023,Chelmsford,2023/05/12,Ireland,Bangladesh,Bangladesh,field,normal,0,Bangladesh,0,3,Nazmul Hossain Shanto,"County Ground, Chelmsford",AT Holdstock,PA Reynolds,MA Gough
1364124,2023,Chelmsford,2023/05/09,Bangladesh,Ireland,Ireland,field,normal,0,,0,0,,"County Ground, Chelmsford",MA Gough,R Black,AT Holdstock
1339623,2023,Karachi,2023/05/07,New Zealand,Pakistan,New Zealand,bat,normal,0,New Zealand,47,0,HB Shipley,"National Stadium, Karachi",L Rusere,Rashid Riaz,JS Wilson
1339622,2023,Karachi,2023/05/05,Pakistan,New Zealand,New Zealand,field,normal,0,Pakistan,102,0,Babar Azam,"National Stadium, Karachi",Asif Yaqoob,JS Wilson,L Rusere
1339621,2023,Karachi,2023/05/03,Pakistan,New Zealand,New Zealand,field,normal,0,Pakistan,26,0,Imam-ul-Haq,"National Stadium, Karachi",Faisal Afridi,L Rusere,JS Wilson
1368002,2023,Kirtipur,2023/05/02,United Arab Emirates,Nepal,Nepal,field,normal,0,Nepal,0,7,Gulsan Jha,"Tribhuvan University International Cricket Ground, Kirtipur",Rahat Ali Chaudhry,Vinod Babu,John Prakash
1339620,2023,Rawalpindi,2023/04/29,New Zealand,Pakistan,Pakistan,field,normal,0,Pakistan,0,7,Fakhar Zaman,Rawalpindi Cricket Stadium,Aleem Dar,Rashid Riaz,Ahsan Raza
1368000,2023,Kathmandu,2023/04/29,United Arab Emirates,Oman,Oman,field,D/L,1,United Arab Emirates,2,0,Basil Hameed,Mulpani Cricket Ground,Rahat Ali Chaudhry,Sanjay Gurung,VK Jha
1339619,2023,Rawalpindi,2023/04/27,New Zealand,Pakistan,Pakistan,field,normal,0,Pakistan,0,5,Fakhar Zaman,Rawalpindi Cricket Stadium,Ahsan Raza,Aleem Dar,Rashid Riaz
1367985,2023,Kirtipur,2023/04/21,Nepal,Oman,Oman,field,normal,0,Nepal,84,0,Kushal Malla,"Tribhuvan University International Cricket Ground, Kirtipur",Naresh D'Souza,Shiju Sam,A Natarajan
1365106,2023,Windhoek,2023/04/05,Canada,Papua New Guinea,Canada,bat,normal,0,Canada,90,0,JOA Gordon,"United Cricket Club Ground, Windhoek",C Phiri,Claus Schumacher,
1365105,2023,Windhoek,2023/04/05,United Arab Emirates,Jersey,United Arab Emirates,bat,normal,0,United Arab Emirates,66,0,Asif Khan,"Wanderers Cricket Ground, Windhoek",A Louw,IO Oyieko,
1365104,2023,Windhoek,2023/04/04,United States of America,Jersey,Jersey,field,normal,0,United States of America,25,0,Ali Khan,"United Cricket Club Ground, Windhoek",A Louw,Claus Schumacher,
1365103,2023,Windhoek,2023/04/04,Namibia,Canada,Namibia,bat,normal,0,Namibia,111,0,S Fouché,"Wanderers Cricket Ground, Windhoek",C Phiri,IO Oyieko,
1365101,2023,Windhoek,2023/04/02,United States of America,Papua New Guinea,United States of America,bat,normal,0,United States of America,117,0,Steven Ryan Taylor,"Wanderers Cricket Ground, Windhoek",Claus Schumacher,Patric Makumbi,
1339608,2022/23,Johannesburg,2023/04/02,South Africa,Netherlands,Netherlands,field,normal,0,South Africa,146,0,AK Markram,"The Wanderers Stadium, Johannesburg",AT Holdstock,M Erasmus,A Paleker
1365102,2023,Windhoek,2023/04/02,United Arab Emirates,Namibia,Namibia,field,normal,0,United Arab Emirates,28,0,Asif Khan,"United Cricket Club Ground, Windhoek",C Phiri,D Odhiambo,
1365100,2023,Windhoek,2023/04/01,Jersey,Papua New Guinea,Jersey,bat,normal,0,Jersey,11,0,JAD Lawrenson,"United Cricket Club Ground, Windhoek",A Louw,Patric Makumbi,
1365099,2023,Windhoek,2023/04/01,Canada,United Arab Emirates,Canada,bat,normal,0,United Arab Emirates,0,6,Waseem Muhammad,"Wanderers Cricket Ground, Windhoek",C Phiri,D Odhiambo,
1339607,2022/23,Benoni,2023/03/31,Netherlands,South Africa,South Africa,field,normal,0,South Africa,0,8,SSB Magala,"Willowmoore Park, Benoni",A Paleker,M Erasmus,AT Holdstock
1322361,2022/23,Hamilton,2023/03/31,Sri Lanka,New Zealand,Sri Lanka,bat,normal,0,New Zealand,0,6,WA Young,"Seddon Park, Hamilton",CM Brown,WR Knights,SB Haig
1365097,2023,Windhoek,2023/03/30,Jersey,Namibia,Jersey,bat,normal,0,Namibia,0,8,M van Lingen,"Wanderers Cricket Ground, Windhoek",IO Oyieko,Patric Makumbi,
1365098,2023,Windhoek,2023/03/30,United Arab Emirates,United States of America,United Arab Emirates,bat,normal,0,United States of America,0,5,SR Mukkamalla,"United Cricket Club Ground, Windhoek",A Louw,Claus Schumacher,
1365095,2023,Windhoek,2023/03/29,Canada,United States of America,United States of America,field,normal,0,Canada,26,0,H Thaker,"Wanderers Cricket Ground, Windhoek",Claus Schumacher,D Odhiambo,
1365093,2023,Windhoek,2023/03/27,United Arab Emirates,Papua New Guinea,Papua New Guinea,field,normal,0,United Arab Emirates,21,0,Aayan Afzal Khan,"Wanderers Cricket Ground, Windhoek",A Louw,Patric Makumbi,
1365092,2023,Windhoek,2023/03/26,United States of America,Namibia,Namibia,field,normal,0,United States of America,80,0,G Singh,"Wanderers Cricket Ground, Windhoek",C Phiri,D Odhiambo,
1322359,2022/23,Auckland,2023/03/25,New Zealand,Sri Lanka,Sri Lanka,field,normal,0,New Zealand,198,0,HB Shipley,"Eden Park, Auckland",SB Haig,WR Knights,CM Brown
1362381,2022/23,Harare,2023/03/25,Netherlands,Zimbabwe,Netherlands,bat,normal,0,Zimbabwe,0,7,SC Williams,Harare Sports Club,Aleem Dar,L Rusere,F Mutizwa
1355719,2022/23,Sylhet,2023/03/23,Ireland,Bangladesh,Ireland,bat,normal,0,Bangladesh,0,10,Hasan Mahmud,Sylhet International Cricket Stadium,Masudur Rahman,RJ Tucker,Gazi Sohel
1362380,2022/23,Harare,2023/03/23,Zimbabwe,Netherlands,Zimbabwe,bat,normal,0,Zimbabwe,1,0,W Madhevere,Harare Sports Club,Aleem Dar,F Mutizwa,I Chabi
1348658,2022/23,Chennai,2023/03/22,Australia,India,Australia,bat,normal,0,Australia,21,0,A Zampa,"MA Chidambaram Stadium, Chepauk, Chennai",J Madanagopal,Nitin Menon,KN Ananthapadmanabhan
1339603,2022/23,Potchefstroom,2023/03/21,West Indies,South Africa,South Africa,field,normal,0,South Africa,0,4,H Klaasen,"Senwes Park, Potchefstroom",BP Jele,M Erasmus,AT Holdstock
1362379,2022/23,Harare,2023/03/21,Zimbabwe,Netherlands,Netherlands,field,normal,0,Netherlands,0,3,AT Nidamanuru,Harare Sports Club,Aleem Dar,I Chabi,L Rusere
1355718,2022/23,Sylhet,2023/03/20,Bangladesh,Ireland,Ireland,field,normal,0,,0,0,,Sylhet International Cricket Stadium,RJ Tucker,Sharfuddoula,Masudur Rahman
1348657,2022/23,Visakhapatnam,2023/03/19,India,Australia,Australia,field,normal,0,Australia,0,10,MA Starc,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Nitin Menon,VK Sharma,J Madanagopal
1355717,2022/23,Sylhet,2023/03/18,Bangladesh,Ireland,Ireland,field,normal,0,Bangladesh,183,0,Towhid Hridoy,Sylhet International Cricket Stadium,RJ Tucker,Tanvir Ahmed,Sharfuddoula
1339602,2022/23,East London,2023/03/18,West Indies,South Africa,West Indies,bat,normal,0,West Indies,48,0,SD Hope,"Buffalo Park, East London",A Paleker,M Erasmus,BP Jele
1348656,2022/23,Mumbai,2023/03/17,Australia,India,India,field,normal,0,India,0,5,RA Jadeja,"Wankhede Stadium, Mumbai",KN Ananthapadmanabhan,Nitin Menon,VK Sharma
1358092,2022/23,Kirtipur,2023/03/16,United Arab Emirates,Nepal,United Arab Emirates,bat,D/L,1,Nepal,9,0,Asif Khan,"Tribhuvan University International Cricket Ground, Kirtipur",BB Pradhan,RR Wimalasiri,
1358091,2022/23,Kirtipur,2023/03/15,Papua New Guinea,United Arab Emirates,Papua New Guinea,bat,normal,0,United Arab Emirates,0,6,Waseem Muhammad,"Tribhuvan University International Cricket Ground, Kirtipur",BB Pradhan,VK Jha,
1358090,2022/23,Kirtipur,2023/03/13,Papua New Guinea,Nepal,Nepal,field,normal,0,Nepal,0,9,S Lamichhane,"Tribhuvan University International Cricket Ground, Kirtipur",RR Wimalasiri,VK Jha,
1358089,2022/23,Kirtipur,2023/03/12,Nepal,United Arab Emirates,Nepal,bat,normal,0,Nepal,177,0,RK Paudel,"Tribhuvan University International Cricket Ground, Kirtipur",BB Pradhan,RR Wimalasiri,
1358088,2022/23,Kirtipur,2023/03/10,Papua New Guinea,United Arab Emirates,United Arab Emirates,field,normal,0,Papua New Guinea,56,0,S Bau,"Tribhuvan University International Cricket Ground, Kirtipur",BB Pradhan,VK Jha,
1358087,2022/23,Kirtipur,2023/03/09,Nepal,Papua New Guinea,Papua New Guinea,field,normal,0,Nepal,52,0,Aasif Sheikh,"Tribhuvan University International Cricket Ground, Kirtipur",RR Wimalasiri,VK Jha,
1358086,2022/23,Dubai,2023/03/06,Nepal,United Arab Emirates,Nepal,bat,normal,0,Nepal,42,0,B Sharki,Dubai International Cricket Stadium,Akbar Ali,Bismillah Shinwari,
1351399,2022/23,Chattogram,2023/03/06,Bangladesh,England,Bangladesh,bat,normal,0,Bangladesh,50,0,Shakib Al Hasan,"Zahur Ahmed Chowdhury Stadium, Chattogram",Gazi Sohel,RSA Palliyaguruge,Masudur Rahman
1358085,2022/23,Dubai,2023/03/05,United Arab Emirates,Papua New Guinea,Papua New Guinea,field,normal,0,Papua New Guinea,0,5,R Hekure,Dubai International Cricket Stadium,Bismillah Shinwari,LE Hannibal,Akbar Ali
1358084,2022/23,Dubai,2023/03/03,Papua New Guinea,Nepal,Papua New Guinea,bat,normal,0,Nepal,0,3,Aasif Sheikh,Dubai International Cricket Stadium,Akbar Ali,LE Hannibal,
1351398,2022/23,Dhaka,2023/03/03,England,Bangladesh,Bangladesh,field,normal,0,England,132,0,JJ Roy,"Shere Bangla National Stadium, Mirpur",RSA Palliyaguruge,Sharfuddoula,Gazi Sohel
1358083,2022/23,Dubai,2023/03/02,United Arab Emirates,Nepal,Nepal,field,normal,0,United Arab Emirates,68,0,Rohan Mustafa,Dubai International Cricket Stadium,Akbar Ali,Bismillah Shinwari,
1351397,2022/23,Dhaka,2023/03/01,Bangladesh,England,Bangladesh,bat,normal,0,England,0,3,DJ Malan,"Shere Bangla National Stadium, Mirpur",RSA Palliyaguruge,Tanvir Ahmed,Sharfuddoula
1358082,2022/23,Dubai,2023/02/28,Papua New Guinea,United Arab Emirates,United Arab Emirates,field,normal,0,Papua New Guinea,131,0,CA Soper,Dubai International Cricket Stadium,Bismillah Shinwari,LE Hannibal,
1358080,2022/23,Dubai,2023/02/25,United Arab Emirates,Namibia,Namibia,field,normal,0,Namibia,0,7,M van Lingen,Dubai International Cricket Stadium,Bismillah Shinwari,LE Hannibal,
1358079,2022/23,Dubai,2023/02/23,Namibia,United Arab Emirates,United Arab Emirates,field,normal,0,United Arab Emirates,0,1,Aayan Afzal Khan,Dubai International Cricket Stadium,Akbar Ali,Bismillah Shinwari,
1358078,2022/23,Kirtipur,2023/02/21,Scotland,Nepal,Nepal,field,normal,0,Nepal,0,2,RK Paudel,"Tribhuvan University International Cricket Ground, Kirtipur",DN Subedi,Rashid Riaz,
1358077,2022/23,Kirtipur,2023/02/20,Scotland,Namibia,Namibia,field,normal,0,Scotland,43,0,R Trumpelmann,"Tribhuvan University International Cricket Ground, Kirtipur",BB Pradhan,DN Subedi,
